"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9411088766766","24.7168703142797","24.5550700921832","24.3482827899875","24.2863497192303","24.487882334716","24.4545308116449","24.4426707919639","24.4250252676734","24.3232588921598","24.3201464484463","24.1682872858315","23.9774062660556","23.978358582043","23.8283268239337","23.9110959967163","24.3010660680453","24.5833856929036","24.4314147311183","24.1533436676886","24.8513153645052","25.2975168795748","25.7268536223894","26.2133936739055","26.5640485933984","26.6403273268817","26.8160079872519","27.0164019679023","27.0190021299067","25.8953578279167","26.1086891025373","",
"Afghanistan","AFG","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.206729","7.254014","7.32702","7.366534","7.413086","7.444415","7.516612","7.594833","7.687743","7.801868","7.938208","7.905921","8.000525","8.162234","8.279169","8.458311","8.610106","8.919732","9.53146","10.20835","11.12434","11.9299","12.90104","13.98273","15.15319","16.36492","17.54959","17.21295","16.82699","15.66604","","",
"Africa Western and Central","AFW","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1917616263801","14.1848314830405","14.1214944668579","14.1175694720638","14.1083852818088","14.1756490690632","14.3370848187247","14.5058946463639","14.6335283431419","14.7989980024103","15.0703718501029","15.3450820150988","15.5462189133862","15.8280780454238","16.0721160639304","16.3356824248915","16.5702567962344","16.8989182209106","17.2288446404545","17.6518381464785","17.9583300278873","18.1293370069069","18.0186139364902","18.2950816830063","18.6032601674974","18.8830405039809","19.2126199597791","19.6581502913687","20.2020380457624","18.7824116448099","19.188126253651","",
"Angola","AGO","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.09565","36.99379","36.43896","35.97405","35.74259","35.80576","35.9127","36.03987","36.18649","36.16437","35.99818","36.2006","35.98537","35.91925","35.13372","34.14851","33.43227","32.65348","31.01122","29.49122","28.10188","31.03494","33.7941","36.66563","36.894","36.68414","36.38058","35.89509","35.28339","33.73607","34.1478","",
"Albania","ALB","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.60137","34.91035","34.57098","34.45155","34.74426","35.24871","34.91077","35.11255","35.76461","36.45073","37.46351","38.24653","39.08041","39.96189","40.47568","41.5233","41.90399","39.82926","42.07635","43.29841","38.92156","36.93998","40.4818","42.07382","41.1876","41.39586","42.90148","44.51904","45.73177","45.82876","46.95451","",
"Andorra","AND","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6080583444752","58.9102009717777","59.042451905236","59.3032799456317","59.454422624563","59.9320660318322","60.3752487655959","60.519526437626","60.8066413535308","60.7295696156082","61.2873168742426","61.1976707944812","60.9407347712815","60.6085213410613","61.8512108768885","63.3249337702164","63.0000228782438","64.3345560173169","64.8373999507613","65.8234977372239","65.9715653874238","66.8865669013078","67.0164398509307","67.1778581001683","67.8930196911631","69.9258074809395","69.6884328892743","70.0481521615676","70.5357037370952","70.5392631284226","70.5950381201649","",
"United Arab Emirates","ARE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.66327","96.67063","96.67114","96.67142","96.68005","96.70181","96.71777","96.71295","96.74297","96.80328","96.81145","96.81763","96.83571","96.86912","96.93236","96.71675","96.33574","95.81558","95.95409","96.18127","96.39879","96.58134","96.71178","96.85757","96.94222","97.05742","96.52855","96.02608","95.06022","95.09064","94.85478","",
"Argentina","ARG","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.26488","70.15132","68.79981","70.21136","70.64411","70.80067","71.74806","72.15031","72.43973","72.39291","71.81983","71.66812","73.69366","74.38303","74.7487","75.64774","76.35677","76.31718","75.95652","76.44277","76.90295","77.00481","76.45258","76.3465","75.85278","75.19785","74.66","74.47115","73.49278","73.00002","71.39813","",
"Armenia","ARM","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.94402","47.73659","46.82803","46.47068","46.46283","46.67174","46.89805","47.41876","47.73504","48.10744","48.69765","49.50978","50.49511","51.42823","52.56976","53.85343","55.54335","57.15073","56.85973","56.86361","55.5678","56.57259","57.1999","55.86226","57.20191","58.05022","59.66107","64.41612","66.67974","68.50368","69.43087","",
"American Samoa","ASM","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.00087","79.85531","79.55605","79.74652","79.9772","80.06483","79.86427","80.08814","80.38168","80.01868","79.79778","79.65625","80.12674","80.33881","80.34482","81.039","81.69207","81.80702","81.76123","81.63446","82.21188","82.82513","83.16417","82.85944","82.94209","82.95045","83.10094","83.54352","83.42296","83.52753","83.39849","",
"Austria","AUT","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.31326","85.41738","85.47227","85.62667","85.74783","85.56523","86.14782","86.20164","86.32443","86.48755","86.57971","86.49979","86.96399","87.45109","87.04693","86.95215","86.31165","86.45692","86.36072","86.18742","86.72378","86.92669","86.79893","86.71164","87.00293","87.27916","87.62283","87.99445","87.83932","87.78571","88.24369","",
"Azerbaijan","AZE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.15763","37.5322","36.65849","35.59337","34.47083","33.47653","32.66301","32.12531","31.71564","31.58604","30.96573","30.56397","29.97888","29.27975","29.34436","30.16516","31.2154","31.64459","32.43239","31.94475","31.71229","33.3084","33.48676","33.25963","32.34502","31.81463","31.62422","31.80253","33.31829","33.03001","33.71569","",
"Burundi","BDI","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.91618","15.81414","15.59064","15.50415","14.90237","14.17952","14.05811","14.1075","13.9816","13.90818","13.81966","13.84794","13.69585","13.17432","13.30729","13.17812","13.22983","13.06868","13.22823","13.0766","13.03244","13.17811","13.24918","13.31459","12.95214","12.84332","12.53347","12.33491","12.2094","11.53186","11.81428","",
"Belgium","BEL","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.73862","82.14121","82.08832","82.27845","82.05782","82.01006","82.72054","82.92659","82.72974","83.95568","84.78178","84.563","84.84566","85.29861","84.77026","84.92518","85.17507","85.77505","85.20097","85.63939","85.6985","85.65429","84.92064","85.38675","84.82115","85.1643","85.70653","85.97092","85.76637","85.26952","85.9851","",
"Benin","BEN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.599736","8.638854","8.668616","9.404736","9.376175","9.419552","9.504673","9.451456","9.609649","9.688984","9.886655","9.970366","10.0398","10.00754","10.03747","10.00835","10.03198","9.974101","10.02022","10.06213","9.977771","9.920506","10.14627","10.30818","10.15916","10.19531","10.30194","10.48684","10.89221","9.821788","10.16867","",
"Burkina Faso","BFA","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.663122","4.654284","4.640179","4.607775","4.617385","4.696824","4.819629","4.88186","5.174277","5.173355","5.281169","5.403121","5.747523","5.916725","6.105558","6.40645","7.017956","7.461797","8.116142","9.085835","10.03148","10.71973","11.30221","12.18362","12.45735","12.88663","13.26879","13.6111","14.02196","12.44703","12.90828","",
"Bangladesh","BGD","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.4631","33.45619","33.46682","33.48242","33.52313","33.58133","33.65697","33.76841","33.90808","34.09898","34.33777","34.55888","34.79794","35.04287","35.37465","35.77491","36.22557","36.70976","37.18547","37.65981","38.0723","38.47518","38.83121","39.11526","39.31429","39.4025","39.49935","39.95016","40.40279","39.98413","40.9681","",
"Bulgaria","BGR","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.51563","84.3531","84.19913","84.09737","84.05103","84.13454","83.94698","83.91748","83.65578","83.64304","84.85946","84.88563","84.13283","84.16908","85.9642","86.8644","87.58881","87.59576","87.52003","87.43092","87.89082","88.41445","87.86179","87.51433","87.9722","88.26872","88.10119","88.35118","89.17432","88.92828","89.52489","",
"Bahrain","BHR","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.47064","94.67285","94.9593","95.17628","95.36755","95.53651","95.69486","95.77561","95.91825","96.16605","96.28619","95.77628","95.87761","95.67754","95.95097","95.91344","96.10719","96.18118","96.27095","97.35931","97.32858","97.3026","97.30789","97.30765","97.30787","97.33754","97.36554","97.3832","97.40872","97.42404","97.38936","",
"Bahamas, The","BHS","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.57272","86.7618","86.75838","85.58434","85.61395","83.22897","85.03998","85.16692","83.99168","85.03454","85.93891","84.52188","85.58248","84.88721","85.37965","85.86469","86.1803","86.57343","86.5625","86.14927","85.70384","85.6659","85.48701","85.42718","85.27941","85.288","85.29665","85.27616","85.25714","84.98684","85.07961","",
"Bosnia and Herzegovina","BIH","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.22367","64.94192","64.56483","64.15175","63.87553","65.14642","66.74942","68.33009","69.67587","70.63513","71.27351","71.63884","71.74175","72.00633","72.23108","72.5143","73.00566","72.48478","72.79225","73.44067","74.74836","72.60809","74.57097","76.95528","75.77788","75.6007","75.44357","78.64288","75.10244","81.57567","82.02489","",
"Belarus","BLR","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.39683","95.36715","95.31641","95.25076","95.16399","95.08414","95.05521","95.06207","95.0797","95.13262","95.18459","95.23701","95.30054","95.4041","95.50967","95.62315","95.73363","95.86445","95.89425","95.96823","96.03276","96.06074","96.06746","96.07178","96.01302","95.94284","95.63105","95.8217","95.72836","96.13094","96.22708","",
"Belize","BLZ","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.60683","68.79913","68.88225","68.64729","68.39768","65.91319","66.11082","66.31086","66.73079","67.49653","67.80895","68.12296","68.66639","69.03558","69.38925","69.59892","69.44773","69.41016","69.07695","68.87183","68.5799","68.19315","67.79699","69.25179","67.52524","66.50415","66.77723","65.89793","64.76237","63.64711","64.11288","",
"Bermuda","BMU","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.58033","29.56382","29.59965","29.6755","29.79128","29.96056","30.36975","30.59375","31.0982","31.94244","33.60752","32.32348","34.44509","36.66524","35.33383","35.19242","38.35045","39.18908","41.92929","40.77574","39.65885","40.90153","39.82927","37.30648","38.8995","30.39685","31.13774","31.46757","36.57371","32.02682","30.88401","",
"Brazil","BRA","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.03531","61.83287","61.99662","62.1988","62.58083","63.97885","63.21637","63.07857","62.4529","62.89769","63.19706","63.06029","62.99669","63.56424","63.47204","64.25899","65.42433","66.44743","66.94711","67.84654","68.51118","70.12321","69.86615","69.9882","68.69553","68.24637","67.69577","67.24813","66.91751","66.22582","64.91315","",
"Barbados","BRB","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.29123","86.99293","85.83445","87.00828","87.11674","87.28762","87.84278","87.39265","86.01093","87.29903","85.93578","85.92855","85.5648","84.76385","84.78071","85.00072","85.00103","84.9465","84.47472","84.08734","83.80837","83.5127","83.24584","83.43179","83.73853","82.63292","81.22536","80.64292","80.44592","80.63216","80.78163","",
"Brunei Darussalam","BRN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.93297","94.84797","94.6983","94.5668","94.48398","94.4393","94.32935","94.07954","93.99431","93.96622","93.73921","93.65164","93.60357","93.52069","93.45993","93.33627","93.05929","93.02327","92.58964","92.42386","92.37402","92.18743","91.89642","91.66508","91.50246","91.3331","91.08908","92.42804","91.01868","90.92387","90.9141","",
"Bhutan","BTN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.20235","27.20633","27.19748","27.20405","27.25561","27.32995","27.41578","27.51445","27.66477","27.76918","27.92702","28.19437","28.49189","28.75673","29.00451","29.24973","29.75341","30.17268","30.51858","30.89136","28.88469","29.1082","29.21634","29.20213","27.60112","27.34158","27.30383","27.49931","27.64655","26.47448","26.9433","",
"Botswana","BWA","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.97923","64.66279","65.22017","66.16958","74.26121","80.29341","79.8187","79.04327","78.58759","77.88255","76.95118","76.12362","75.20567","74.16653","73.16167","72.32539","71.77805","71.12202","69.68771","69.61866","69.48957","69.0686","69.17339","69.50079","69.27315","69.45384","69.47058","69.65007","69.74493","71.11758","71.72941","",
"Central African Republic","CAF","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.85144","6.688105","6.64643","6.591751","6.628506","6.339901","6.252878","6.257114","6.187957","6.052886","6.07528","6.06522","5.801294","5.858298","5.784699","5.895899","5.99427","6.069061","6.39745","6.5405","6.83361","7.139259","5.961624","5.57038","5.68379","5.704109","5.726314","5.809265","5.951262","5.353308","5.538638","",
"Canada","CAN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.25523","84.85941","84.27937","84.46677","84.33201","83.80015","82.90328","82.81739","83.04872","83.86853","84.74529","84.7991","84.59758","84.57003","84.38972","84.72943","84.50367","84.42158","83.90064","84.19305","84.53979","84.64304","84.56556","84.69128","84.62202","84.68053","84.75947","84.66788","84.76714","84.47015","85.65903","",
"Central Europe and the Baltics","CEB","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9057740533417","75.1250018419503","74.7096395743386","74.8960761037568","74.3542080908596","74.7087639070875","74.0592782148011","74.1553187134177","73.6787318354564","73.1374498504959","73.0659970404253","75.0346424431113","75.4005280327373","76.520272844367","77.0467808470603","78.0171813740159","78.6471613279138","79.2381751843657","78.8780523322058","78.115412516434","78.6195374431407","78.8834607866913","79.3162535087449","79.7214035059536","80.553564987953","81.3589308980545","81.6160812999554","81.9564334138865","82.2924371986656","82.0147453410465","83.8515522021041","",
"Switzerland","CHE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.32861","82.32665","82.30141","82.31979","82.27061","82.19706","81.61764","82.16737","82.26022","82.63588","82.84118","83.05328","82.48991","83.77342","83.97942","84.07941","83.85113","84.12179","84.74986","84.2753","84.59756","84.69503","84.66894","84.73153","85.13332","84.94164","85.14445","85.25439","85.62613","85.65707","84.98628","",
"Channel Islands","CHI","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.77657","82.80383","82.85696","82.94658","83.02589","83.10771","83.23619","83.35084","83.49562","83.71809","83.74226","83.75635","83.72532","83.77375","83.86362","84.04686","84.25926","84.31238","84.20305","84.29939","84.37546","84.4524","84.5521","84.67863","84.79889","84.90517","85.01714","85.10912","85.20226","85.02074","85.10303","",
"Chile","CHL","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.93944","69.26433","69.45956","69.58295","69.93645","70.07571","70.39937","69.18889","69.2039","69.42247","68.60823","68.47085","68.23849","68.15913","70.15631","71.07674","72.12848","72.75423","73.09699","73.50953","73.62277","74.92321","74.57682","74.12768","74.35108","73.52599","72.56786","72.8861","72.78537","72.77149","72.97418","",
"China","CHN","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.57924","30.46777","30.58183","30.86762","31.25981","31.70746","32.18184","32.62493","33.04546","33.50909","34.05659","34.69662","35.44991","36.27565","37.26373","38.43963","39.88563","41.21161","42.49609","43.92097","45.28104","46.46376","47.59652","48.67328","49.68262","50.66417","51.66722","53.00001","53.96443","54.4153","55.46632","",
